序号,成员变量名,数据类型,注释,
1,iState,INT,主状态机 (唯一写入 MODE_MANAGER)                                    // 0=INIT 3=READY_CHECK 5=SELFTEST 10=STANDBY                   ,
2,iPrevState,INT,上一状态 (诊断/回退判断),
3,diUpTime,DINT,"本次开机累计运行时间 (ms), 断电清零",
4,rTailDriftPulse,REAL,"电推杆开机偏移量 (pulse, ABS(HC实读 - Retain记录))",
5,diReadyCheckResult,DINT, 资格检查位掩码 (bit0=零点 bit1=参数 bit2=硬件 bit3=HC bit4=位置 bit5=参考),
6,iHealthLevel,INT,健康等级 (0=正常 1=建议校准 2=必须校准 3=故障),
7,bAllAxesReferenced,BOOL,全轴参考有效/回零语义成立,
8,bAllAxesHomed,BOOL,全轴已回零,
9,bAllAxesAtInit,BOOL,全轴在初始位,
10,bAllAxesIdle,BOOL,全轴空闲 (bBusy=FALSE),
11,bAnyAxisFault,BOOL,任意轴有故障,
12,bAnyAxisAtLimit,BOOL,轴处于限位,
13,bAnyAxisBusy,BOOL,任意轴运动中,
14,bReady,BOOL,系统就绪 (=bInitialized AND bAllAxesReferenced AND bPowerOn AND NOT bNeedReset),
15,bSafeToStart,BOOL,安全启动条件 (=NOT bEstopActive AND (NOT bSafetyDoorOpen OR NOT bSafetyDoorActive)),
16,bAbsPositionValid,BOOL,绝对位置可信 (P17: NOT bEncoderFault[all] AND NOT bPositionSuspected),
17,bSensitiveRunning,BOOL,敏感运行状态 (P10: 紧急回零/限位脱离窗口),
18,bPositionSuspected,BOOL,"位置疑似异常 (B 类复位后置位, 回零成功后清除)",
19,bInitialized,BOOL,"系统已初始化, TRUE=开机自检通过",
20,bParamInitialized,BOOL,"参数已加载, TRUE=断电保持参数已读取",
21,bPowerOn,BOOL,"全轴使能, TRUE=所有伺服轴已上电",
22,bPoweringUp,BOOL,"内部电源锁存HMI 显示""正在使能...""，防止重复发送指令",
23,bNeedReset,BOOL,"需要复位, TRUE=存在错误需复位后继续",
24,bAllServoReady,BOOL,[P1] 全伺服就绪 (MONITOR: 3轴 bReady 全为TRUE),
25,bTailSensorAtBoot,BOOL,开机时原点传感器状态 (静态读取),
26,bHealthCheckSkipped,BOOL,跳过了健康自检 (Quick Start / 强制跳过 / SELFTEST内部管理员跳过),
27,bSelfTestDone,BOOL,动态自检已完成,
28,bParamValid,BOOL,参数校验通过 (原 TASK_INIT 局部变量提升),
29,bHcValid,BOOL,HC 可用 (原 MONITOR 局部变量提升),
30,bSkipSelfTestAllowed,BOOL,操作员快速启动资格 (MONITOR 每扫计算),
31,bForceSkipSelfTestAllowed,BOOL,管理员强制跳过资格 (MONITOR 每扫计算),
